parameter,Average,Upper,Lower,Trial_Type,group
mu,453.7838761,468.8388559,438.7288963,pure,ya
sigma,42.61781803,45.94363639,39.29199967,pure,ya
tau,229.0809546,258.9065495,199.2553598,pure,ya
mu,783.7636601,818.3462224,749.1810978,Alt_ns,ya
sigma,89.65097646,109.7021704,69.59978253,Alt_ns,ya
tau,562.0064203,627.3256314,496.6872092,Alt_ns,ya
mu,910.52559,953.9344792,867.1167009,alt_switch,ya
sigma,130.9126466,151.3063264,110.5189668,alt_switch,ya
tau,521.4605571,579.4647092,463.4564051,alt_switch,ya
mu,746.8332051,790.9509752,702.715435,rand_ns,ya
sigma,83.82448848,107.1762609,60.47271602,rand_ns,ya
tau,512.8200267,568.3472882,457.2927653,rand_ns,ya
mu,933.3085265,990.0474641,876.5695889,rand_switch,ya
sigma,135.9539748,155.8562331,116.0517165,rand_switch,ya
tau,521.4183348,579.3731734,463.4634962,rand_switch,ya
