subID,mean_cv_rt,mean_oe_rt,pure_RT,switch_altrun_rt,non_altrun_rt,switch_rand_rt,non_rand_rt,global_cost_alt_RT,global_cost_rand_RT,local_switch_cost_alt_RT,local_switch_cost_rand_RT
1,726.0526316,966.5384615,846.2955466,1609.072727,1607.571429,1449.09434,1358.019231,761.275882,511.7236842,1.501298701,91.07510885
2,576.8404255,690.8695652,633.8549954,928.9473684,883.1052632,1067.894737,946.4385965,249.2502678,312.5836011,45.84210526,121.4561404
3,597.7666667,672.3043478,635.0355072,1475.192308,1507.62963,1394.72,1150.54717,872.5941224,515.5116626,-32.43732194,244.1728302
4,852.75,748.5957447,800.6728723,1768.881356,1709.633333,1618.474576,1470.517241,908.960461,669.844369,59.2480226,147.9573349
5,735.4204545,701.8064516,718.6134531,1207.346154,1130.611111,1311.381818,1197.925926,411.997658,479.3124728,76.73504274,113.4558923
6,940.2234043,919.4148936,929.8191489,1588.381818,1274.140351,1797.267857,1251.070175,344.3212019,321.2510265,314.2414673,546.1976817
7,745.34375,751.7058824,748.5248162,1664.981481,1715.052632,1707.140351,1373.327273,966.5278154,624.8024566,-50.0711501,333.8130781
8,840.75,845.8736842,843.3118421,1479.58,1458.135593,1697.542373,1563.5,614.8237511,720.1881579,21.44440678,134.0423729
9,517.40625,551.3956044,534.4009272,1135.517857,1044.421053,1043.152542,1005.017241,510.0201254,470.6163142,91.09680451,38.13530099
10,812.3894737,1652.462366,1232.42592,2150.385965,2376.672414,2810.807018,2344.649123,1144.246494,1112.223203,-226.2864489,466.1578947
11,617.0744681,701.3977273,659.2360977,1160.763636,1089.396552,1057.442623,973.4210526,430.160454,314.184955,71.36708464,84.02157032
12,606.5957447,639.9782609,623.2870028,1127.696429,1068.103448,1270.309091,1104.910714,444.8164455,481.6237115,59.5929803,165.3983766
13,682.0736842,773.9468085,728.0102464,1665.421053,1592.741379,1639.483333,1403.875,864.7311329,675.8647536,72.67967332,235.6083333
14,711.6315789,902.6236559,807.1276174,1475.145455,1422.719298,1586.37931,1412.472727,615.5916808,605.3451098,52.4261563,173.9065831
16,1022.673684,930.287234,976.4804591,2260.293103,2366.383333,3245.050847,2691.22807,1389.902874,1714.747611,-106.0902299,553.8227773
17,556.5053763,534.923913,545.7146447,1939.517857,1732.033333,1896.596154,1292.127273,1186.318689,746.412628,207.4845238,604.4688811
19,703.2659574,787.5434783,745.4047179,1289.307692,1332.181818,1109.288462,1042.396226,586.7771003,296.9915086,-42.87412587,66.89223512
20,763.9583333,893.1847826,828.571558,1501.571429,1337.517241,1617.448276,1450.888889,508.9456834,622.3173309,164.0541872,166.559387
21,480.1956522,510.4947368,495.3451945,931.4464286,812.1052632,1136.482143,1055.75,316.7600686,560.4048055,119.3411654,80.73214286
22,636.4842105,760.6842105,698.5842105,1752.017857,1402.3,1909.672727,1653.298246,703.7157895,954.7140351,349.7178571,256.3744817
23,497.4421053,658.0123457,577.7272255,1170.3125,849.6181818,1102.101695,887.3,271.8909563,309.5727745,320.6943182,214.8016949
24,661.9578947,718.3225806,690.1402377,1935.6,1806.685185,1873.339286,1678.763636,1116.544947,988.6233987,128.9148148,194.5756494
25,511.787234,591.2795699,551.533402,1234.982143,1142.912281,1155.37931,1099.775862,591.3788787,548.2424601,92.06986216,55.60344828
26,565.3085106,690.2446809,627.7765957,1174.018868,946.0909091,1258.385965,881.3214286,318.3143133,253.5448328,227.9279588,377.0645363
