"bin","Trial_Type","Average","Upper","Lower"
1,"alt_ns",782.022638643935,814.839668063133,749.205609224736
2,"alt_ns",949.573148148148,993.875717486936,905.27057880936
3,"alt_ns",1115.05653537135,1175.44154845379,1054.67152228891
4,"alt_ns",1315.9734861846,1395.83568401036,1236.11128835884
5,"alt_ns",1625.55660395846,1734.15411515807,1516.95909275884
6,"alt_ns",2369.93802175191,2558.23177670145,2181.64426680237
1,"alt_switch",871.848535175387,914.242555780488,829.454514570286
2,"alt_switch",1066.21990985695,1115.44951205737,1016.99030765653
3,"alt_switch",1226.42124240643,1282.79482934209,1170.04765547076
4,"alt_switch",1412.13139819714,1481.06297431942,1343.19982207486
5,"alt_switch",1707.24160787772,1805.26314298364,1609.2200727718
6,"alt_switch",2401.62211934156,2580.70479612532,2222.5394425578
1,"pure",454.989608190664,470.221776040543,439.757440340785
2,"pure",522.166309359054,539.542851299236,504.789767418871
3,"pure",573.078472670442,593.453361975713,552.703583365171
4,"pure",636.891842027173,664.035817255148,609.747866799198
5,"pure",739.547422909169,779.977245011575,699.117600806762
6,"pure",1181.14169914373,1283.06306554403,1079.22033274342
1,"rand_ns",752.220125416422,781.19672148262,723.243529350224
2,"rand_ns",899.002865961199,941.190754913631,856.814977008767
3,"rand_ns",1030.36186067019,1089.55302235095,971.17069898944
4,"rand_ns",1206.36292377033,1283.73777730964,1128.98807023102
5,"rand_ns",1500.27798353909,1604.02643075958,1396.52953631861
6,"rand_ns",2254.71685773075,2443.79894843608,2065.63476702542
1,"rand_switch",898.507520976965,946.912959874877,850.102082079054
2,"rand_switch",1090.21128257888,1152.88853746974,1027.53402768801
3,"rand_switch",1251.81593180482,1328.51106926824,1175.1207943414
4,"rand_switch",1445.05398785028,1538.1895369241,1351.91843877647
5,"rand_switch",1732.97377523026,1850.57980057794,1615.36774988257
6,"rand_switch",2404.44558592985,2594.25093552452,2214.64023633517
