parameter,Average,Upper,Lower,Trial_Type,group
tau,321.8723309,374.8888471,268.8558148,alt_global,ya
tau,283.0372648,336.053781,230.0207487,rand_global,ya
tau,36.80830744,89.82482359,-16.20820872,alt_local,ya
tau,-4.828799088,48.18771707,-57.84531524,rand_local,ya
tau,466.0398602,547.4268317,384.6528888,alt_global,Healthy
tau,421.9190491,503.3060205,340.5320776,rand_global,Healthy
tau,155.4790631,236.8660346,74.09209163,alt_local,Healthy
tau,136.1615115,217.548483,54.77454006,rand_local,Healthy
tau,311.3028178,459.8849247,162.720711,alt_global,MCI
tau,303.5408313,452.1229381,154.9587244,rand_global,MCI
tau,122.9631446,271.5452515,-25.61896223,alt_local,MCI
tau,66.08130955,214.6634164,-82.5007973,rand_local,MCI
