parameter,Average,Upper,Lower,Trial_Type,group
mu,452.5574065,467.0153651,438.099448,pure,ya
sigma,42.28646451,45.60801748,38.96491154,pure,ya
tau,224.2360305,252.5211763,195.9508848,pure,ya
mu,782.1665599,813.5240194,750.8091005,Alt_ns,ya
sigma,87.30669671,105.2649359,69.34845753,Alt_ns,ya
tau,546.1083615,606.8653642,485.3513588,Alt_ns,ya
mu,905.1925376,945.8737988,864.5112765,alt_switch,ya
sigma,121.7677482,140.2663408,103.2691556,alt_switch,ya
tau,509.300054,562.9707042,455.6294039,alt_switch,ya
mu,752.5852108,791.4084056,713.7620159,rand_ns,ya
sigma,82.8335824,104.3795008,61.28766397,rand_ns,ya
tau,507.2732953,558.3900142,456.1565765,rand_ns,ya
mu,938.469087,988.6638263,888.2743478,rand_switch,ya
sigma,137.7951695,155.763151,119.8271879,rand_switch,ya
tau,512.1020944,565.1186106,459.0855783,rand_switch,ya
mu,559.8876049,598.5417867,521.2334231,pure,Healthy
sigma,52.55444073,64.130103,40.97877846,pure,Healthy
tau,394.0495858,456.2354713,331.8637003,pure,Healthy
mu,1203.738183,1457.407022,950.0693436,Alt_ns,Healthy
sigma,144.9266955,216.1091014,73.74428964,Alt_ns,Healthy
tau,860.089446,971.7813687,748.3975234,Alt_ns,Healthy
mu,1430.593652,1662.643372,1198.543932,alt_switch,Healthy
sigma,240.3136462,311.3958709,169.2314214,alt_switch,Healthy
tau,704.6103829,796.5891633,612.6316026,alt_switch,Healthy
mu,1130.029332,1336.665976,923.3926889,rand_ns,Healthy
sigma,166.3214729,254.0187213,78.62422463,rand_ns,Healthy
tau,815.9686348,931.6458034,700.2914662,rand_ns,Healthy
mu,1538.752541,1794.074471,1283.43061,rand_switch,Healthy
sigma,294.3706575,381.2627569,207.4785582,rand_switch,Healthy
tau,679.8071233,761.1940948,598.4201518,rand_switch,Healthy
mu,634.0083081,693.1695144,574.8471018,pure,MCI
sigma,70.03412704,88.08754802,51.98070606,pure,MCI
tau,514.8810432,621.6134674,408.1486189,pure,MCI
mu,1264.247401,1519.805167,1008.689635,Alt_ns,MCI
sigma,255.0206617,384.0427531,125.9985703,Alt_ns,MCI
tau,826.183861,1007.989884,644.3778377,Alt_ns,MCI
mu,1506.702404,1824.749527,1188.655282,alt_switch,MCI
sigma,332.3078202,500.3494661,164.2661742,alt_switch,MCI
tau,703.2207164,856.6599357,549.7814971,alt_switch,MCI
mu,1043.464202,1170.546627,916.381776,rand_ns,MCI
sigma,148.3808592,204.3068786,92.45483983,rand_ns,MCI
tau,818.4218744,962.890634,673.9531149,rand_ns,MCI
mu,1335.337086,1526.333171,1144.341001,rand_switch,MCI
sigma,295.3612376,392.83753,197.8849452,rand_switch,MCI
tau,752.3405649,900.9226717,603.7584581,rand_switch,MCI
